Sales Person,Country,Product,Date,Amount,Boxes Shipped
Jehu Rudeforth,UK,Mint Chip Choco,4/1/2022,5320.00,180
Van Tuxwell,India,85% Dark Bars,4/2/2022,7896.00,94
Gigi Bohling,India,Peanut Butter Cubes,4/3/2022,4501.00,91
Jan Morforth,Australia,Peanut Butter Cubes,4/4/2022,12726.00,342
Jehu Rudeforth,UK,Peanut Butter Cubes,4/5/2022,13685.00,184
Van Tuxwell,India,Smooth Sliky Salty,4/6/2022,5376.00,38
Oby Sorrel,UK,99% Dark & Pure,4/7/2022,13685.00,176
Gunar Cockshoot,Australia,After Nines,4/8/2022,3080.00,73
Jehu Rudeforth,New Zealand,50% Dark Bites,4/9/2022,3990.00,59
Brien Boise,Australia,99% Dark & Pure,4/10/2022,2835.00,102
Rafaelita Blaksland,UK,Smooth Sliky Salty,4/11/2022,4704.00,62
Barr Faughny,USA,Orange Choco,4/12/2022,3703.00,11
Mallorie Waber,Canada,Eclairs,4/13/2022,1442.00,286
Karlen McCaffrey,New Zealand,Drinking Coco,4/14/2022,168.00,156
Marney O'Breen,New Zealand,Peanut Butter Cubes,4/15/2022,8379.00,173
Beverie Moffet,Australia,Organic Choco Syrup,4/16/2022,6790.00,356
Van Tuxwell,Canada,Organic Choco Syrup,4/17/2022,4067.00,42
Roddy Speechley,USA,Smooth Sliky Salty,4/18/2022,3017.00,140
Beverie Moffet,Canada,Milk Bars,4/19/2022,8799.00,250
Curtice Advani,UK,85% Dark Bars,4/20/2022,1085.00,172
Brien Boise,Australia,Eclairs,4/21/2022,6888.00,88
Gunar Cockshoot,USA,Spicy Special Slims,4/22/2022,1267.00,157
Marney O'Breen,USA,After Nines,4/23/2022,4753.00,163
Husein Augar,UK,Drinking Coco,4/24/2022,3003.00,113
Kaine Padly,Australia,Eclairs,4/25/2022,7672.00,115
Karlen McCaffrey,India,Fruit & Nut Bars,4/26/2022,168.00,321
Roddy Speechley,Canada,Spicy Special Slims,4/27/2022,1652.00,186
Husein Augar,USA,Eclairs,4/28/2022,4025.00,112
Dennison Crosswaite,New Zealand,White Choc,4/29/2022,9492.00,151
Dennison Crosswaite,New Zealand,Manuka Honey Choco,4/30/2022,5061.00,301
Van Tuxwell,New Zealand,85% Dark Bars,5/1/2022,1722.00,121
Rafaelita Blaksland,UK,99% Dark & Pure,5/2/2022,12446.00,150
Wilone O'Kielt,Australia,Manuka Honey Choco,5/3/2022,4284.00,94
Karlen McCaffrey,UK,Almond Choco,5/4/2022,6839.00,133
Andria Kimpton,Canada,After Nines,5/5/2022,2163.00,70
Roddy Speechley,USA,Manuka Honey Choco,5/6/2022,9583.00,315
Andria Kimpton,UK,50% Dark Bites,5/7/2022,2653.00,314
Kelci Walkden,New Zealand,After Nines,5/8/2022,147.00,72
Camilla Castle,Australia,85% Dark Bars,5/9/2022,3654.00,14
Karlen McCaffrey,India,Manuka Honey Choco,5/10/2022,2443.00,581
Kelci Walkden,USA,After Nines,5/11/2022,938.00,16
Karlen McCaffrey,USA,Raspberry Choco,5/12/2022,14749.00,354
Mallorie Waber,Canada,Choco Coated Almonds,5/13/2022,4781.00,241
Andria Kimpton,India,Spicy Special Slims,5/14/2022,6307.00,142
Madelene Upcott,Canada,Almond Choco,5/15/2022,7602.00,102
Kaine Padly,USA,Peanut Butter Cubes,5/16/2022,6790.00,188
Van Tuxwell,USA,50% Dark Bites,5/17/2022,9737.00,160
Curtice Advani,Australia,Milk Bars,5/18/2022,6979.00,18
Roddy Speechley,India,Eclairs,5/19/2022,4382.00,303
Curtice Advani,India,Fruit & Nut Bars,5/20/2022,5243.00,176
Curtice Advani,Canada,Almond Choco,5/21/2022,4865.00,70
Brien Boise,Australia,Fruit & Nut Bars,5/22/2022,8575.00,23
Dotty Strutley,Australia,Drinking Coco,5/23/2022,91.00,135
Beverie Moffet,USA,Raspberry Choco,5/24/2022,14798.00,83
Marney O'Breen,India,85% Dark Bars,5/25/2022,2205.00,179
Jehu Rudeforth,Canada,Drinking Coco,5/26/2022,441.00,24
Ches Bonnell,New Zealand,Spicy Special Slims,5/27/2022,3556.00,18
Brien Boise,Canada,99% Dark & Pure,5/28/2022,16793.00,416
Barr Faughny,Australia,Fruit & Nut Bars,5/29/2022,15421.00,55
Andria Kimpton,Australia,50% Dark Bites,5/30/2022,4438.00,227
Andria Kimpton,Australia,Drinking Coco,5/31/2022,1603.00,48
Marney O'Breen,Australia,Organic Choco Syrup,6/1/2022,273.00,174
Kelci Walkden,Canada,Baker's Choco Chips,6/2/2022,3073.00,302
Karlen McCaffrey,India,Almond Choco,6/3/2022,6090.00,149
Oby Sorrel,India,99% Dark & Pure,6/4/2022,10255.00,11
Wilone O'Kielt,Australia,Caramel Stuffed Bars,6/5/2022,2030.00,11
Van Tuxwell,Australia,Organic Choco Syrup,6/6/2022,19453.00,14
Camilla Castle,India,50% Dark Bites,6/7/2022,9275.00,411
Oby Sorrel,India,Organic Choco Syrup,6/8/2022,6181.00,56
Jan Morforth,USA,Peanut Butter Cubes,6/9/2022,9037.00,102
Gigi Bohling,USA,Choco Coated Almonds,6/10/2022,12313.00,103
Gigi Bohling,UK,Almond Choco,6/11/2022,5642.00,9
Jehu Rudeforth,New Zealand,White Choc,6/12/2022,2800.00,241
Andria Kimpton,New Zealand,Peanut Butter Cubes,6/13/2022,959.00,265
Van Tuxwell,UK,Organic Choco Syrup,6/14/2022,2002.00,214
Roddy Speechley,Canada,Milk Bars,6/15/2022,609.00,32
Camilla Castle,USA,Spicy Special Slims,6/16/2022,1274.00,244
Marney O'Breen,USA,Orange Choco,6/17/2022,7595.00,181
Van Tuxwell,UK,99% Dark & Pure,6/18/2022,4725.00,137
Camilla Castle,USA,White Choc,6/19/2022,9681.00,24
Andria Kimpton,USA,Raspberry Choco,6/20/2022,14504.00,21
Dotty Strutley,Australia,Fruit & Nut Bars,6/21/2022,280.00,311
Brien Boise,New Zealand,Mint Chip Choco,6/22/2022,63.00,181
Roddy Speechley,New Zealand,After Nines,6/23/2022,8001.00,10
Roddy Speechley,Canada,Organic Choco Syrup,6/24/2022,4032.00,82
Dennison Crosswaite,Australia,70% Dark Bites,6/25/2022,5859.00,108
Karlen McCaffrey,USA,Orange Choco,6/26/2022,11095.00,401
Madelene Upcott,Australia,Spicy Special Slims,6/27/2022,7182.00,408
Dennison Crosswaite,Australia,85% Dark Bars,6/28/2022,6881.00,420
Andria Kimpton,Canada,Caramel Stuffed Bars,6/29/2022,7154.00,348
Dennison Crosswaite,UK,Eclairs,6/30/2022,6188.00,270
Madelene Upcott,India,Raspberry Choco,7/1/2022,4221.00,9
Van Tuxwell,USA,After Nines,7/2/2022,630.00,264
Wilone O'Kielt,Australia,Organic Choco Syrup,7/3/2022,1743.00,111
Karlen McCaffrey,Canada,50% Dark Bites,7/4/2022,2919.00,65
Roddy Speechley,New Zealand,Orange Choco,7/5/2022,49.00,97
Beverie Moffet,Australia,Eclairs,7/6/2022,1827.00,6
Kelci Walkden,UK,Fruit & Nut Bars,7/7/2022,13006.00,482
Marney O'Breen,USA,50% Dark Bites,7/8/2022,1064.00,106
Husein Augar,USA,After Nines,7/9/2022,11571.00,180
Dennison Crosswaite,Australia,Raspberry Choco,7/10/2022,5740.00,31
Andria Kimpton,USA,Fruit & Nut Bars,7/11/2022,1456.00,359
Kelci Walkden,India,Eclairs,7/12/2022,5334.00,80
Marney O'Breen,USA,99% Dark & Pure,7/13/2022,4151.00,296
Brien Boise,Canada,Spicy Special Slims,7/14/2022,8106.00,101
Karlen McCaffrey,New Zealand,70% Dark Bites,7/15/2022,126.00,40
Husein Augar,UK,Spicy Special Slims,7/16/2022,4697.00,42
Marney O'Breen,USA,Almond Choco,7/17/2022,7798.00,167
Kelci Walkden,India,Orange Choco,7/18/2022,9408.00,138
Jan Morforth,India,Spicy Special Slims,7/19/2022,1939.00,520
Ches Bonnell,India,Spicy Special Slims,7/20/2022,10906.00,94
Kelci Walkden,UK,Smooth Sliky Salty,7/21/2022,5929.00,175
Madelene Upcott,Australia,Fruit & Nut Bars,7/22/2022,5579.00,92
Madelene Upcott,Canada,70% Dark Bites,7/23/2022,10927.00,141
Wilone O'Kielt,Australia,Drinking Coco,7/24/2022,623.00,283
Gunar Cockshoot,Australia,Fruit & Nut Bars,7/25/2022,6013.00,21
Gigi Bohling,Canada,Baker's Choco Chips,7/26/2022,1505.00,47
Kelci Walkden,India,Caramel Stuffed Bars,7/27/2022,476.00,125
Rafaelita Blaksland,Australia,Drinking Coco,7/28/2022,11550.00,396
Kelci Walkden,USA,Manuka Honey Choco,7/29/2022,17318.00,87
Jehu Rudeforth,Canada,Spicy Special Slims,7/30/2022,1848.00,27
Kelci Walkden,Australia,Eclairs,7/31/2022,7273.00,547
Curtice Advani,Canada,Spicy Special Slims,8/1/2022,854.00,118
Oby Sorrel,India,Raspberry Choco,8/2/2022,6832.00,46
Kelci Walkden,UK,Eclairs,8/3/2022,4606.00,57
Jan Morforth,India,Almond Choco,8/4/2022,4466.00,22
Dotty Strutley,UK,Almond Choco,8/5/2022,16114.00,96
Marney O'Breen,New Zealand,After Nines,8/6/2022,1561.00,44
Husein Augar,Australia,Orange Choco,8/7/2022,8897.00,188
Marney O'Breen,Australia,Milk Bars,8/8/2022,2464.00,387
Kelci Walkden,Canada,99% Dark & Pure,8/9/2022,4830.00,50
Kaine Padly,Australia,Manuka Honey Choco,8/10/2022,2765.00,264
Beverie Moffet,New Zealand,White Choc,8/11/2022,7126.00,7
Van Tuxwell,UK,Milk Bars,8/12/2022,4263.00,90
Oby Sorrel,Canada,99% Dark & Pure,8/13/2022,3605.00,403
Van Tuxwell,India,Organic Choco Syrup,8/14/2022,19929.00,174
Roddy Speechley,India,Smooth Sliky Salty,8/15/2022,5103.00,140
Jan Morforth,India,Eclairs,8/16/2022,2541.00,27
Ches Bonnell,UK,Smooth Sliky Salty,8/17/2022,5663.00,110
Wilone O'Kielt,USA,After Nines,8/18/2022,392.00,30
Gigi Bohling,New Zealand,Fruit & Nut Bars,8/19/2022,10976.00,121
